Field=#~Integer~#~50|Field=Designator~String~Designator~100|Field=Comment~String~Comment~100|Field=Footprint~String~Footprint~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~clock.PrjPcb|ReportField=ProjectFullPath~\\vmware-host\Shared Folders\下载\clock\pcb\clock.PrjPcb|ReportField=Title~Bill of Materials For Project [clock.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~277|ReportField=ReportTime~18:48:29|ReportField=ReportDate~2018/12/17|ReportField=ReportDateTime~2018/12/17 18:48:29|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2018/12/17|ReportField=CurrentTime~18:33:43|ReportField=Date~|ReportField=DocumentFullPathAndName~\\vmware-host\Shared Folders\下载\clock\pcb\Main.SchDoc|ReportField=DocumentName~Main.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2018/12/10|ReportField=Organization~|ReportField=ProjectName~clock.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~clock.PrjPcb|ReportField=DataSourceFullPath~\\vmware-host\Shared Folders\下载\clock\pcb\clock.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Y1|XTAL|XTAL|
2|U15|USB-Micro|USB-Micro|
3|U23|USB-A|USB-A|
4|P1|Tripwire|HDR1X2|
5|D21|TRIP|0603D|
6|U11|TRIP|TRIP|
7|U25|TPS62745DSSR|DSS0012A|Value
8|U24|TP4056|SOP8-PAD|
9|U26|TP4056|SOP8-PAD|
10|U10|TMP101|SOT23-6|Value
11|U9|TMP101|SOT23-6|Value
12|U27|TJ4230|SOP8-PAD|
13|U30|TEA5767|TEA5767|
14|U5|TCA9535|TSSOP24|
15|U8|TCA9535|TSSOP24|
16|S1|SW-SPDT|SW-SPDT|
17|U17|STC89LE516RD+|LQFP44|
18|LS2|SPEAKER|SPEAKER|
19|LS3|SPEAKER|SPEAKER|
20|U6|SN74HC244|TSSOP20|
21|U20|SET|HDR2X3|
22|U33|SC2272M4|WSO20_M|
23|D17|RTC|0603D|
24|R36|RPot|VR5|1M
25|R1|Res3|0603|4.7K
26|R10|Res3|0603|100K
27|R100|Res3|0603|1K
28|R101|Res3|0603|4.7K
29|R102|Res3|0603|4.7K
30|R103|Res3|0603|4.7K
31|R104|Res3|0603|4.7K
32|R105|Res3|0603|1K
33|R106|Res3|0603|1K
34|R107|Res3|0603|1K
35|R108|Res3|0603|1K
36|R109|Res3|0603|1K
37|R11|Res3|0603|6.8K
38|R110|Res3|0603|1K
39|R111|Res3|0603|1K
40|R112|Res3|0603|1K
41|R113|Res3|0603|6.8K
42|R114|Res3|0603|6.8K
43|R115|Res3|0603|6.8K
44|R116|Res3|0603|6.8K
45|R117|Res3|0603|6.8K
46|R12|Res3|0603|100K
47|R13|Res3|0603|100K
48|R14|Res3|0603|100K
49|R15|Res3|0603|100K
50|R16|Res3|0603|100K
51|R17|Res3|0603|680
52|R18|Res3|0603|100K
53|R19|Res3|0603|100K
54|R2|Res3|0603|20
55|R20|Res3|0603|330K
56|R21|Res3|0603|330K
57|R22|Res3|0603|1M
58|R23|Res3|0603|330K
59|R24|Res3|0603|330K
60|R25|Res3|0603|1M
61|R26|Res3|0603|1M
62|R27|Res3|0603|330K
63|R28|Res3|0603|4.7K
64|R29|Res3|0603|330K
65|R3|Res3|0603|330K
66|R30|Res3|0603|4.7K
